"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","i","w","W","V","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR"
"15366","2019-005B","JILIN-01-09","plat","+","u","u","PRC","JSC","2019-01-21","1858-11-16",95.3,0,0,0,97.5,540,521,0,0,0,"u","","2022-12-12",6894.67,0.00416226,1.70195,1.48186,1.34795,3.23441,-877.071,226.311,-6863.73,1.67759,7.38379,0.0320488,79.3156,887.653,-6865.64,7.62499,-0.426295,0.0359305,2022,2019-01-01
"15367","2019-005C","XIAOXIANG 3","plat","+","u","u","PRC","JSC","2019-01-21","1858-11-16",95.3,0,0,0,97.5,539,522,0,0,0,"u","","2022-08-14",6904.27,0.00250832,1.70181,2.02813,5.58758,4.8399,4098.81,-4070.17,3777.76,-3.76301,2.06464,6.27272,5727.99,-700.044,3786.56,-4.29944,-1.10783,6.26457,2022,2019-01-01
"15368","2019-005D","CZ-11 R/B","rb","D","u","u","PRC","JSC","2019-01-21","2019-01-28",87.6,0,0,0,97.3,207,100,0,0,0,"u","","1858-11-16",6600,0,0,0,0,0,6600,0,0,0,7.77136,0,0,0,0,0,0,0,1858,2019-01-01
"15369","2019-005E","JILIN-01-10","plat","+","u","u","PRC","JSC","2019-01-21","1858-11-16",95.3,0,0,0,97.5,544,517,0,0,0,"u","","2022-11-02",6893.05,0.00285612,1.70194,2.37091,0.672672,2.47768,176.003,1284.56,-6785.77,5.9638,4.58081,1.00822,986.336,845.087,-6785.34,7.56646,-0.520589,1.02142,2022,2019-01-01
"15370","2019-006A","MICROSAT-R","plat","D","u","u","IND","SRILR","2019-01-24","2020-02-26",89.5,0,0,0,96.6,296,200,0,0,0,"u","","1858-11-16",6600,0,0,0,0,0,-2035.41,6278.3,0,-7.39257,-2.39665,0,0,0,0,0,0,0,1858,2019-01-01
"15371","2019-006B","KALAMSAT-V2 & PSLV R/B","rb","-","u","u","IND","SRILR","2019-01-24","1858-11-16",93.6,0,0,0,98.8,451,445,0,0,0,"u","","2022-09-23",6823.3,0.00112297,1.72426,1.01572,1.85675,5.44422,-1717.45,6491.09,1184.76,1.48524,-0.971706,7.44011,-1545.55,6534.79,1181.2,1.91895,-0.898228,7.44331,2022,2019-01-01
"15377","2019-007A","HELLAS-SAT 4 & SGS-1","plat","+","u","u","GRSA","FRGUI","2019-02-05","1858-11-16",1435.1,0,0,0,0.1,35806,35728,0,0,0,"u","","2022-10-08",40895.5,0.0202,0.00114254,4.51823,4.4149,5.48131,23140.6,-34594.9,36.8638,2.56572,1.68053,0.00223986,12487.4,-39703.3,86.4111,0.0393391,-0.0187056,0.00790225,2022,2019-01-01
"15378","2019-007B","GSAT-31","plat","+","u","u","IND","FRGUI","2019-02-05","1858-11-16",1436.1,0,0,0,0.1,35793,35779,0,0,0,"u","","2022-11-05",42165.3,0.000188982,0.00108869,5.0673,1.37658,1.13494,12471.5,-40277.5,-21.7852,2.93695,0.909998,-0.00294611,-18952.8,-37664.4,4.414,0.000294382,0.000496418,0.00352449,2022,2019-01-01
"15379","2019-007C","ARIANE 5 R/B","rb","","u","u","FR","FRGUI","2019-02-05","1858-11-16",627.4,0,0,0,2.8,35540,257,0,0,0,"u","","2022-11-14",24280.3,0.725553,0.0481558,4.6744,4.00302,2.1862,32210.7,-26396.1,2006.46,0.828657,1.42028,-0.0142821,-1543.86,-41612.7,2076.47,-1.40217,0.311585,-0.0124228,2022,2019-01-01
"15385","2019-008A","EGYPTSAT-A (MISRSAT-A)","plat","+","u","u","EGYP","TYMSC","2019-02-21","1858-11-16",97.8,0,0,0,98,655,653,0,0,0,"u","","2022-11-22",7020.52,0.00249631,1.71061,1.24362,0.481883,3.17651,-2232.16,-107.493,-6673.82,6.23823,3.60312,-2.14381,-1179.72,1880.7,-6678.71,6.33636,-3.59184,-2.13,2022,2019-01-01
"15386","2019-009A","NUSANTARA SATU","plat","+","u","u","INDO","AFETR","2019-02-22","1858-11-16",1436.1,0,0,0,0,35796,35777,0,0,0,"u","","2022-09-23",42165.4,0.000336331,0.000569301,1.78517,5.77266,0.971169,38104.5,18032.3,19.5567,-1.31617,2.77943,0.00101444,38573.7,17005.2,103.337,-0.00120724,0.000853027,-0.00178176,2022,2019-01-01
"15387","2019-009B","BERESHEET","plat","D","u","u","ISRA","AFETR","2019-02-22","2019-04-11",16049.8,0,0,0,25,407521,1261,0,0,0,"u","MO2","1858-11-16",6600,0,0,0,0,0,6600,0,0,0,7.77136,0,0,0,0,0,0,0,1858,2019-01-01
"15388","2019-009C","FALCON 9 R/B","rb","","u","u","US","AFETR","2019-02-22","1858-11-16",1355,0,0,0,27.6,68125,243,0,0,0,"u","","1858-11-16",6600,0,0,0,0,0,6600,0,0,0,7.77136,0,0,0,0,0,0,0,1858,2019-01-01
"15391","2019-010A","ONEWEB-0012","plat","+","u","u","UK","FRGUI","2019-02-27","1858-11-16",109.5,0,0,0,87.9,1204,1201,0,0,0,"u","","2022-11-22",7583.35,0.000615536,1.53418,2.06821,2.75514,3.74559,-6220.2,2666.77,-3429.72,-3.12319,1.01541,6.45941,-718,6722.62,-3443.31,-0.161401,3.28488,6.45256,2022,2019-01-01
