"","OBJECT_NAME","OBJECT_ID","NORAD_CAT_ID","OBJECT_TYPE","OPS_STATUS_CODE","OWNER","LAUNCH_DATE","LAUNCH_SITE","DECAY_DATE","PERIOD","INCLINATION","APOGEE","PERIGEE","RCS","DATA_STATUS_CODE","ORBIT_CENTER","ORBIT_TYPE","LAUNCH_YEAR"
"46758","STARLINK-1928","2020-074V",46758,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46759","STARLINK-1833","2020-074W",46759,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46760","STARLINK-1896","2020-074X",46760,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46761","STARLINK-1897","2020-074Y",46761,"PAY","D","US","2020-10-24","AFETR","2021-08-23",87.71,53.04,167,156,NA,NA,"EA","IMP",2020-01-01
"46762","STARLINK-1901","2020-074Z",46762,"PAY","D","US","2020-10-24","AFETR","2021-11-14",87.72,53.03,164,160,NA,NA,"EA","IMP",2020-01-01
"46763","STARLINK-1902","2020-074AA",46763,"PAY","+","US","2020-10-24","AFETR",NA,91.33,53.05,341,338,NA,NA,"EA","ORB",2020-01-01
"46764","STARLINK-1903","2020-074AB",46764,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46765","STARLINK-1906","2020-074AC",46765,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46766","STARLINK-1916","2020-074AD",46766,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.06,548,546,NA,NA,"EA","ORB",2020-01-01
"46767","STARLINK-1917","2020-074AE",46767,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46768","STARLINK-1918","2020-074AF",46768,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46769","STARLINK-1919","2020-074AG",46769,"PAY","D","US","2020-10-24","AFETR","2022-04-08",88.08,53.04,183,176,NA,NA,"EA","IMP",2020-01-01
"46770","STARLINK-1932","2020-074AH",46770,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.06,548,546,NA,NA,"EA","ORB",2020-01-01
"46771","STARLINK-1935","2020-074AJ",46771,"PAY","D","US","2020-10-24","AFETR","2021-08-24",87.75,53.04,168,158,NA,NA,"EA","IMP",2020-01-01
"46772","STARLINK-1936","2020-074AK",46772,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.06,548,546,NA,NA,"EA","ORB",2020-01-01
"46773","STARLINK-1937","2020-074AL",46773,"PAY","D","US","2020-10-24","AFETR","2021-09-11",87.64,53.03,162,153,NA,NA,"EA","IMP",2020-01-01
"46774","STARLINK-1939","2020-074AM",46774,"PAY","P","US","2020-10-24","AFETR",NA,94.68,53.05,505,502,NA,NA,"EA","ORB",2020-01-01
"46775","STARLINK-1945","2020-074AN",46775,"PAY","D","US","2020-10-24","AFETR","2022-01-29",87.63,53.03,159,155,NA,NA,"EA","IMP",2020-01-01
"46776","STARLINK-1946","2020-074AP",46776,"PAY","+","US","2020-10-24","AFETR",NA,91.69,53.05,363,352,NA,NA,"EA","ORB",2020-01-01
"46777","STARLINK-1949","2020-074AQ",46777,"PAY","D","US","2020-10-24","AFETR","2021-10-02",88.65,53.04,214,202,NA,NA,"EA","IMP",2020-01-01
"46778","STARLINK-1950","2020-074AR",46778,"PAY","D","US","2020-10-24","AFETR","2020-11-06",87.91,53.02,177,164,NA,NA,"EA","IMP",2020-01-01
"46779","STARLINK-1798","2020-074AS",46779,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46780","STARLINK-1832","2020-074AT",46780,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46781","STARLINK-1834","2020-074AU",46781,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46782","STARLINK-1835","2020-074AV",46782,"PAY","+","US","2020-10-24","AFETR",NA,95.6,53.05,548,547,NA,NA,"EA","ORB",2020-01-01
"46783","STARLINK-1851","2020-074AW",46783,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46784","STARLINK-1882","2020-074AX",46784,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46785","STARLINK-1883","2020-074AY",46785,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46786","STARLINK-1893","2020-074AZ",46786,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46787","STARLINK-1899","2020-074BA",46787,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.06,548,546,NA,NA,"EA","ORB",2020-01-01
"46788","STARLINK-1929","2020-074BB",46788,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46789","STARLINK-1930","2020-074BC",46789,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
"46790","STARLINK-1931","2020-074BD",46790,"PAY","+","US","2020-10-24","AFETR",NA,95.59,53.05,548,546,NA,NA,"EA","ORB",2020-01-01
