"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","26","27","28","29","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR","count"
"15495","2019-029AB","Starlink28","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-30",6917,0,0.925025,0,0,2.53463,6917,0,0,0,4.56849,6.0626,6823.72,-1132.02,15.1129,0.652025,4.01129,6.06272,2022,2019-01-01,1
"15496","2019-029AC","Starlink29","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-07",6917,0,0.925025,0,0,2.00272,6917,0,0,0,4.56849,6.0626,6732.8,1585.59,15.0922,-0.944455,3.95267,6.06271,2022,2019-01-01,1
"15497","2019-029AD","Starlink30","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-11",6917,0,0.925025,0,0,2.74743,6917,0,0,0,4.56849,6.0626,6488.99,-2395.35,15.1272,1.39489,3.81705,6.06272,2022,2019-01-01,1
"15498","2019-029AE","Starlink31","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-30",6917,0,0.925025,0,0,2.81474,6917,0,0,0,4.56849,6.0626,6823.76,-1131.79,15.1129,0.651891,4.01131,6.06272,2022,2019-01-01,1
"15499","2019-029AF","Starlink32","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-19",6917,0,0.925025,0,0,0.16961,6917,0,0,0,4.56849,6.0626,3593.49,-5910.29,15.1965,3.46555,2.12267,6.0627,2022,2019-01-01,1
"15500","2019-029AG","Starlink33","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-28",6917,0,0.925025,0,0,1.85477,6917,0,0,0,4.56849,6.0626,6858.65,-896.415,15.1091,0.513537,4.03136,6.06272,2022,2019-01-01,1
"15501","2019-029AH","Starlink34","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-30",6917,0,0.925025,0,0,4.16596,6917,0,0,0,4.56849,6.0626,6451.73,2493.96,15.0751,-1.4776,3.78581,6.06271,2022,2019-01-01,1
"15502","2019-029AI","Starlink35","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-17",6917,0,0.925025,0,0,2.01621,6917,0,0,0,4.56849,6.0626,6904.84,409.661,15.1001,-0.253899,4.056,6.06272,2022,2019-01-01,1
"15503","2019-029AJ","Starlink36","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-29",6917,0,0.925025,0,0,3.77953,6917,0,0,0,4.56849,6.0626,6407.88,2604.56,15.0753,-1.54249,3.75983,6.06271,2022,2019-01-01,1
"15504","2019-029AK","Starlink37","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-01",6917,0,0.925025,0,0,3.9496,6917,0,0,0,4.56849,6.0626,6803.27,-1249.04,15.1158,0.720817,3.9995,6.06272,2022,2019-01-01,1
"15505","2019-029AL","Starlink38","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-30",6917,0,0.925025,0,0,3.46906,6917,0,0,0,4.56849,6.0626,6823.79,-1131.59,15.1129,0.651773,4.01133,6.06272,2022,2019-01-01,1
"15506","2019-029AM","Starlink39","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-26",6917,0,0.925025,0,0,5.90868,6917,0,0,0,4.56849,6.0626,5663.03,-3971.74,15.1477,2.32264,3.33482,6.06271,2022,2019-01-01,1
"15507","2019-029AN","Starlink40","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-08",6917,0,0.925025,0,0,1.96126,6917,0,0,0,4.56849,6.0626,6604.04,-2057.02,15.1265,1.1959,3.88399,6.06272,2022,2019-01-01,1
"15508","2019-029AO","Starlink41","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-18",6917,0,0.925025,0,0,0.437511,6917,0,0,0,4.56849,6.0626,3694.78,-5847.5,15.1958,3.42847,2.18206,6.0627,2022,2019-01-01,1
"15509","2019-029AP","Starlink42","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-04",6917,0,0.925025,0,0,6.13741,6917,0,0,0,4.56849,6.0626,6729.84,-1598.11,15.1243,0.926034,3.95703,6.06272,2022,2019-01-01,1
"15510","2019-029AQ","Starlink43","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-18",6917,0,0.925025,0,0,0.624616,6917,0,0,0,4.56849,6.0626,3694.77,-5847.5,15.1958,3.42847,2.18205,6.0627,2022,2019-01-01,1
"15511","2019-029AR","Starlink44","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-18",6917,0,0.925025,0,0,0.717612,6917,0,0,0,4.56849,6.0626,3694.98,-5847.37,15.1958,3.42839,2.18217,6.0627,2022,2019-01-01,1
